Sample ID,Site,Date,Time,Time Zone,Type,Type2,Freezer bag #,UVM ICPOES prep date,Index-notes,ICPOES-notes-MED,Al_mg_L,Ba_mg_L,Ca_mg_L,Fe_mg_L,K_mg_L,Mg_mg_L,Mn_mg_L,Na_mg_L,P_mg_L,S_mg_L,Si_mg_L,Sr_mg_L,Zn_mg_L,Cu_mg_L,Cl_mg_L,IC-notes_MED,dD,d18O,NRS_LWIA_notes
RI24-1418,Wade,12/19/2023,11:00,EST,Snowmelt lysimeter,Endmember,,05/21/2024,Dry site lysimeter,DartmouthID_AS-061025-146,0.0093401889249047,0.0026757259571924,6.4216020367105,0.0055728464522506,1.10210458718038,2.0553962205514,0.0029486674679994,2.11030481776085,0.0161624150683374,0.366351292220491,1.60541992643776,0.0288768722897383,0.143110948700473,,2.958,Run 2025-07-21,-123.17,-17.298,
RI24-1419,Wade,12/19/2023,11:30,EST,Soil water lysimeter wet,Endmember,,05/21/2024,Wet site lysimeter,DartmouthID_AS-061025-152,0.456166801535497,0.0110697588532729,1.49180709707671,0.0541854801088563,0.572828264720966,0.2685030063957,0.0122652189596925,0.356769166134891,0.0277393435542943,0.81234649316421,1.27161193295264,0.0133558954313582,0.116163639862738,,3.177,Run 2025-07-21,-60.017,-9.172,
RI24-1420,Wade,12/19/2023,12:00,EST,Soil water lysimeter dry,Endmember,,05/21/2024,Dry site lysimeter,DartmouthID_AS-061025-162,0.736171147470417,0.0090682491491102,0.858941566800132,0.216255741046689,0.278540049787593,0.310526288452836,0.0100404181948112,0.361980813179073,0.007031472337809,0.682493684399541,1.06242959457586,0.0060975957285925,0.443365587890954,,3.041,Run 2025-07-21,-100.162,-14.696,
RI24-1415,Hungerford,12/20/2023,9:30,EST,Snowmelt lysimeter,Endmember,,05/21/2024,Wet site lysimeter,DartmouthID_AS-061025-157,0.0096198242074704,0.0029491797109797,4.70277981917326,0.0061298493596715,1.70404439561823,2.35433564653784,0.0016552155918288,11.812029731631,0.0339328508209458,0.312199161807893,1.4172924153914,0.0257779149491529,0.150548781570325,,4.043,Run 2025-06-05,-123.809,-17.231,
RI24-1416,Hungerford,12/20/2023,9:45,EST,Soil water lysimeter wet,Endmember,,05/21/2024,Wet site lysimeter,,,,,,,,,,,,,,,,5.064,Run 2025-07-21,-62.853,-9.877,
RI24-1422,Potash,01/08/2024,11:30,EST,Snow,Endmember,,05/21/2024,Spear St snow,DartmouthID_AS-061025-155,0.0033868279799188,-6.28615798278491E-05,0.177868934271168,0.0015683453854584,0.140769063967067,0.0129490201691071,0.0002078923357689,0.973774901411688,-0.0009534281396155,0.0592968715344052,-0.0044309645429649,0.0001152657436194,0.0407648970501766,,3.535,Run 2025-07-21,-150.36,-21.373,
RI24-1421,Wade,01/22/2024,10:45,EST,Snow,Endmember,,05/21/2024,Dry site snow and rain mix,DartmouthID_AS-061025-156,0.0093051249969749,0.0019774126565885,0.469660576142243,0.0036123483417132,0.274553333050017,0.0691221846133769,0.0080939093508421,0.347504942863083,0.0156683663230229,0.21775324654557,0.0113744674980154,0.001905797267995,0.427535219809367,,3.131,Run 2025-06-05,-93.003,-13.846,
RI24-1417,Hungerford,01/25/2024,11:00,EST,Snowmelt lysimeter,Endmember,,05/21/2024,Wet site lysimeter,DartmouthID_AS-061025-159,0.009286321725069,0.0071948680930558,10.5272144987431,0.0110533640451155,3.82262123793148,10.9752974071741,0.0077234344973359,8.3939332885478,0.0572067676038611,0.819163953291818,2.93561810180913,0.0756159820645211,0.214752077607589,,6.392,Run 2025-07-21,-86.159,-12.902,
RI24-1241,Wade,02/08/2024,12:00,EST,Isco,Stream,,03/28/2024,,UVM-Aglab_Replaced with 2nd run,-0.01,,13.625,0.38,0.777,1.625,0.411,1.466,-0.007,,1.796,,0.003,0.007,,,-84.083,-12.489,
RI24-1242,Wade,02/08/2024,15:00,EST,Isco,Stream,,03/28/2024,,UVM-Aglab_Replaced with 2nd run,0.001,,9.377,0.709,0.752,1.124,0.297,1.085,-0.003,,0.967,,0.011,0.009,,,,,
RI24-1243,Wade,02/08/2024,18:00,EST,Isco,Stream,,03/28/2024,,UVM-Aglab_Replaced with 2nd run,-0.011,,21.029,4.265,0.926,2.511,1.271,2.04,-0.002,,2.409,,0.013,0.006,,,,,
RI24-1244,Wade,02/08/2024,21:00,EST,Isco,Stream,,03/28/2024,,UVM-Aglab_Replaced with 2nd run,-0.002,,10.722,1.537,0.723,1.269,0.427,1.143,-0.01,,1.517,,0.001,0.006,,,,,
RI24-1412,Wade,02/08/2024,10:45,EST,Grab,Stream,,07/18/2024,,UVM-Aglab_,-0.004,,9.767,1.132,0.728,1.199,0.424,1.094,-0.001,,1.611,,0.054,0.007,,,,,
RI24-1251,Potash,02/08/2024,14:00,EST,Isco,Stream,,05/02/2024,,UVM-Aglab_Replaced with 2nd run,-0.042,,37.274,0.001,4.895,19.945,0.075,204.059,0.169,,2.066,,-0.001,0.006,,,-72.82,-10.684,
RI24-1252,Potash,02/08/2024,17:00,EST,Isco,Stream,,05/02/2024,,UVM-Aglab_Replaced with 2nd run,-0.063,,54.753,0.005,7.922,28.827,0.136,328.393,0.217,,2.521,,0.002,0.006,,,,,
RI24-1253,Potash,02/08/2024,20:00,EST,Baseflow,Endmember,,05/02/2024,Candidate for baseflow,UVM-Aglab_Replaced with 2nd run,-0.067,,65.519,0.009,7.295,28.341,0.183,297.517,0.221,,2.579,,0.004,0.006,,,-72.169,-10.467,
RI24-1254,Potash,02/08/2024,23:00,EST,Isco,Stream,,05/02/2024,,UVM-Aglab_Replaced with 2nd run,-0.097,,87.988,0.012,11.858,43.123,0.25,452.904,0.316,,2.603,,0.014,0.006,,,,,
RI24-1259,Hungerford,02/08/2024,15:00,EST,Baseflow,Endmember,,05/02/2024,Candidate for baseflow,UVM-Aglab_Replaced with 2nd run,-0.046,,43.261,0.012,3.412,12.98,0.034,27.861,0.114,,3.322,,0,0.006,,,-74.789,-11.023,
RI24-1260,Hungerford,02/08/2024,18:00,EST,Isco,Stream,,05/02/2024,,UVM-Aglab_Replaced with 2nd run,-0.046,,41.997,0.012,3.522,11.608,0.033,25.054,0.116,,2.564,,-0.005,0.006,,,,,
RI24-1261,Hungerford,02/08/2024,21:00,EST,Isco,Stream,,05/02/2024,,UVM-Aglab_Replaced with 2nd run,-0.031,,27.956,0.008,2.79,10.669,0.019,21.79,0.099,,2.577,,-0.008,0.006,,,,,
RI24-1008,Hungerford,02/09/2024,15:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,20.7365,Run 2024-09-24,-75.883,-11.068,
RI24-1008,Hungerford,02/09/2024,15:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,23.4489364,Run 2024-10-17,-75.883,-11.068,
RI24-1009,Hungerford,02/09/2024,18:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,356.2969,Run 2024-09-24,-75.894,-11.136,
RI24-1009,Hungerford,02/09/2024,18:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,23.20396983,Run 2024-10-17,-75.894,-11.136,
RI24-1010,Hungerford,02/09/2024,21:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,328.3752,Run 2024-09-24,-76.141,-11.3,
RI24-1016,Potash,02/09/2024,14:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-009,0.0053531396957754,0.0103920213761295,22.6391035622452,0.0153679812104681,2.53132061145437,15.9893967707825,0.0320634939043044,169.162157539171,0.0134735595976096,6.71913570339917,6.48482317331244,0.136733596135898,0.0025634569385671,,262.8609,Run 2024-09-24,-73.344,-10.888,
RI24-1017,Potash,02/09/2024,17:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-010,0.00666192389441,0.0171671071075111,35.5911007652004,0.0203481801432405,2.56876045999817,16.1318510619127,0.074652988504433,167.73259624352,0.0176054271756571,6.83573725529696,6.1137242073472,0.176341365672577,0.0043846862938774,,,,,,
RI24-1018,Potash,02/09/2024,20:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-011,0.0057584068811406,0.0158709284790738,33.4416386459348,0.0162760389567677,2.62045199627665,16.0048486250155,0.062457167306962,171.245875266218,0.0183810406737964,6.68443564383796,6.19485832327955,0.165789707352074,0.0025611095788193,,365.6872,Run 2024-09-24,-73.445,-10.871,
RI24-1019,Potash,02/09/2024,23:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-012,0.0063390976933937,0.0101833226041914,23.5830828021849,0.0170476311296926,2.56755985321406,15.7025807608029,0.0373804123510369,157.756623639652,0.0142585055604555,6.40014276979376,6.52217365417936,0.134188398666641,0.0012685390248476,,314.4854,Run 2024-09-24,-73.896,-10.947,
RI24-1046,Wade,02/09/2024,15:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-028,0.0107934975232666,0.0083948489684155,14.0910146837049,0.701505169679075,0.353517853059327,1.92940483861123,0.487990084578226,1.8220141173818,0.0362998451035443,2.47955023066635,6.08600182214507,0.0818371693637057,0.017607327065572,,,,,,
RI24-1047,Wade,02/09/2024,18:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-029,0.0058531170020742,0.0038141002456498,4.90157467169858,0.0014885896105605,0.178554122774203,0.676904311488597,0.0437893522517653,0.679654550870654,0.0034266427285068,1.28726395682754,3.52404923397044,0.0298495188847015,0.0057454389506699,,,,,,
RI24-1048,Wade,02/09/2024,21:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-030,0.0131696159532128,0.0034160022310189,3.98497430392081,0.0347613470894651,0.875296416274792,0.599290264102487,0.0170118958527844,0.619783855473892,0.0038336840601108,1.2404756175172,3.91071485186685,0.0253633361359207,0.0542371363912055,,,,-85.049,-12.595,
RI24-1245,Wade,02/09/2024,0:00,EST,Isco,Stream,,03/28/2024,,UVM-Aglab_Replaced with 2nd run,0.002,,8.557,0.92,0.689,1.028,0.265,0.983,-0.009,,1.423,,0.004,0.007,,,,,
RI24-1246,Wade,02/09/2024,3:00,EST,Isco,Stream,,03/28/2024,,UVM-Aglab_Replaced with 2nd run,-0.004,,8.859,0.425,0.837,1.157,0.249,1.196,-0.007,,0.994,,0.002,0.007,,,,,
RI24-1247,Wade,02/09/2024,6:00,EST,Isco,Stream,,03/28/2024,,UVM-Aglab_Replaced with 2nd run,0.002,,7.694,0.49,0.698,0.955,0.154,0.963,-0.003,,1.533,,0.003,0.007,,,,,
RI24-1248,Wade,02/09/2024,9:00,EST,Isco,Stream,,03/28/2024,,UVM-Aglab_Replaced with 2nd run,0.005,,4.873,0.165,0.647,0.661,0.057,0.751,-0.012,,1.53,,-0.001,0.007,,,,,
RI24-1249,Wade,02/09/2024,12:00,EST,Grab,Stream,,03/28/2024,Ice still covering Wade Brook MED,UVM-Aglab_Replaced with 2nd run,0.004,,7.137,0.459,0.668,0.896,0.141,0.916,-0.016,,1.33,,0.03,0.007,,,-84.159,-12.58,
RI24-1255,Potash,02/09/2024,2:00,EST,Isco,Stream,,05/02/2024,,UVM-Aglab_Replaced with 2nd run,-0.052,,39.671,0,7.266,30.611,0.064,314.452,0.241,,1.895,,-0.004,0.007,,,,,
RI24-1256,Potash,02/09/2024,5:00,EST,Isco,Stream,,05/02/2024,,UVM-Aglab_Replaced with 2nd run,-0.087,,87.854,0.015,10.063,37.841,0.24,384.676,0.282,,2.06,,0.015,0.006,,,,,
RI24-1257,Potash,02/09/2024,8:00,EST,Isco,Stream,,05/02/2024,,UVM-Aglab_Replaced with 2nd run,-0.059,,54.712,0.009,10.5,39.92,0.121,414.579,0.292,,2.325,,0.006,0.007,,,,,
RI24-1258,Potash,02/09/2024,11:00,EST,Isco,Stream,,05/02/2024,,UVM-Aglab_Replaced with 2nd run,-0.072,,73.004,0.01,10.341,38.594,0.206,403.594,0.287,,2.712,,0.017,0.006,,,,,
RI24-1250,Potash,02/09/2024,11:15,EST,Grab,Stream,,05/02/2024,,UVM-Aglab_Replaced with 2nd run,-0.062,,50.917,-0.007,8.664,33.788,0.102,347.769,0.189,,2.416,,0,0.004,,,,,
RI24-1262,Hungerford,02/09/2024,3:00,EST,Isco,Stream,,05/02/2024,,UVM-Aglab_Replaced with 2nd run,-0.06,,56.749,0.029,3.728,12.356,0.059,26.777,0.127,,3.572,,-0.003,0.007,,,,,
RI24-1263,Hungerford,02/09/2024,6:00,EST,Isco,Stream,,05/02/2024,,UVM-Aglab_Replaced with 2nd run,-0.043,,37.368,0.009,3.292,11.643,0.034,24.346,0.114,,2.917,,0.034,0.007,,,,,
RI24-1264,Hungerford,02/09/2024,9:00,EST,Isco,Stream,,05/02/2024,,UVM-Aglab_Replaced with 2nd run,-0.028,,30.931,0.008,3.783,13.44,0.018,28.514,0.132,,2.882,,-0.005,0.006,,,,,
RI24-1265,Hungerford,02/09/2024,12:00,EST,Isco,Stream,,05/02/2024,,UVM-Aglab_Replaced with 2nd run,-0.036,,30.768,0.006,3.307,11.613,0.024,24.833,0.113,,2.962,,-0.006,0.006,,,,,
RI24-1266,Hungerford,02/09/2024,13:15,EST,Grab,Stream,,05/02/2024,,UVM-Aglab_,-0.036,,35.253,0.008,4.062,13.28,0.031,29.205,0.123,,1.233,,0.005,0.006,,,,,
RI24-1011,Hungerford,02/10/2024,0:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1012,Hungerford,02/10/2024,3:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,328.36,Run 2024-09-24,-76.473,-11.255,
RI24-1013,Hungerford,02/10/2024,6:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1014,Hungerford,02/10/2024,9:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,326.6617,Run 2024-09-24,-78.178,-11.46,
RI24-1014,Hungerford,02/10/2024,9:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,18.78527482,Run 2024-10-17,-78.178,-11.46,
RI24-1015,Hungerford,02/10/2024,9:00,EST,Grab,Stream,,,,DartmouthID_duffy-030625-008,0.0135821460194991,0.0096351590381173,24.320293712484,0.0466915154523734,2.58238931374896,6.57690180998787,0.0180112772768443,14.2717958313185,0.0310466919345356,4.52699262278636,5.63157086672616,0.118376192247854,0.0009711102028922,,317.5978,Run 2024-09-24,-77.963,-11.467,
RI24-1020,Potash,02/10/2024,2:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-013,0.0061472503133326,0.0141781207089652,30.53712617132,0.0264238644837384,2.43627355842532,15.7058909141312,0.0633030067914331,155.085490849404,0.0180644576341676,6.23327027891633,5.73166866959437,0.150937527376135,0.0021673699169013,,261.8523182,Run 2024-10-17,-73.813,-10.915,
RI24-1021,Potash,02/10/2024,5:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-014,0.0064329975393318,0.0176426553851224,38.1849585661645,0.0211122229186983,2.68832405687026,16.615035094519,0.0682156909929932,169.818842200836,0.0174908607252333,6.66573729813452,4.81543108861909,0.178233416339546,0.0022964889239033,,,,,,
RI24-1022,Potash,02/10/2024,8:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-015,0.005724467183983,0.0189125058240618,39.5029663734393,0.0276906835671694,2.3500981245074,15.327023592727,0.08321405540518,148.008678562251,0.0208885335144033,6.19663982047803,6.11922449285615,0.180507423658677,0.0024234076101414,,268.4343124,Run 2024-10-17,-74.08,-10.842,
RI24-1023,Potash,02/10/2024,10:30,EST,Grab,Stream,,,,DartmouthID_duffy-030625-016,0.0049897883641014,0.0138858493589233,32.3291066446674,0.0131465314391819,3.8189013996137,23.9584776851577,0.0566785593490015,237.264162808151,0.0198833858627015,9.31135960989134,5.55419832007297,0.172253232575641,0.0035448969348318,,272.7200991,Run 2024-10-17,-73.995,-10.859,
RI24-1035,Hungerford,02/10/2024,12:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1036,Hungerford,02/10/2024,15:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,17.06113553,Run 2024-10-17,-79.451,-11.854,
RI24-1037,Hungerford,02/10/2024,18:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1038,Hungerford,02/10/2024,21:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,16.33229416,Run 2024-10-17,-79.919,-11.87,
RI24-1024,Potash,02/10/2024,11:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-017,0.0080237416732297,0.0200689440572631,41.6412524664794,0.0257893029724959,2.39586024382796,15.6811568419902,0.0870644570918709,149.583838129016,0.021123361153674,6.23754287006825,5.50309431154583,0.185644404298592,0.0058584843811756,,,,,,
RI24-1025,Potash,02/10/2024,14:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-018,0.0082864866332841,0.0183945846156008,37.4993929200964,0.0164114796571543,3.48351582905418,21.3615300995784,0.0512750480326806,272.239988192737,0.0183636621838854,9.01363505215345,6.0223068868481,0.197022561718581,0.0024139727536817,,283.4234993,Run 2024-10-17,-74.29,-10.914,
RI24-1026,Potash,02/10/2024,17:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-019,0.00565403551483,0.0147922169044549,30.5966796110956,0.0176067084875253,2.32317661494922,14.4807632139111,0.0414974960287902,152.112407640956,0.0168811076802331,5.85357980113586,5.63947275584036,0.15104854914285,0.0015455458146841,,,,,,
RI24-1027,Potash,02/10/2024,20:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-020,0.0079424299550476,0.0168946307530101,36.3318665938228,0.0287083174018072,2.38329393010865,14.7859140713497,0.0575135652659391,149.183576151253,0.0188370682777216,5.86176193640118,5.78803732487826,0.168715945749184,0.0021884466611705,,,,-74.665,-11.027,
RI24-1028,Potash,02/10/2024,23:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-021,0.0095443532018302,0.0193096279433851,38.3659881160288,0.0255495239435863,2.3305057510814,14.8456545151281,0.0652301717741214,154.109312006777,0.0218332791010172,5.7876396108302,5.80720273488056,0.17070727408791,0.0022198407318164,,,,,,
RI24-1049,Wade,02/10/2024,0:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-031,0.0121391875981998,0.0035416313788426,4.02542683909643,0.0195091695591745,0.142862073360654,0.576573514449597,0.0095075627680031,0.555740241949146,0.0053139611817702,1.18778539657333,3.52656824984112,0.0249295861828593,0.0041309321432414,,2.165037473,Run 2024-10-31,-85.295,-12.64,
RI24-1050,Wade,02/10/2024,3:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-032,0.014716377026983,0.0045257821333251,5.69302666313506,0.0442967255003188,0.214950487432622,0.824228994957635,0.0145181669730257,0.803182153650515,0.0048616813231296,1.66198312071412,4.39394057188068,0.0348232965856089,0.0093022015319443,,,,,,
RI24-1051,Wade,02/10/2024,6:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-033,0.0119061367260829,0.0033421638615823,3.88761497871392,0.0226808873054848,0.966897478865734,0.551610623935352,0.0068690366248788,0.604508336564849,0.0046035973943873,1.14844994464776,3.13893687575015,0.0240869674355159,0.0570091464299196,,2.31939281,Run 2024-10-17,-87.002,-12.818,
RI24-1052,Wade,02/10/2024,9:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-034,0.0086764891054432,0.0033911445553315,4.12602114345231,0.0179157715856752,0.17556610251839,0.581112262022709,0.0103333563499289,0.571116104509516,0.0044761693122486,1.17076463342641,0.819847302961506,0.0257526138074977,0.0068848875477052,,,,,,
RI24-1053,Wade,02/10/2024,12:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-035,0.0408364535851728,0.0049203045122513,6.93861050382009,0.0354995802724115,0.307760917381971,0.973741777424999,0.022114882091303,1.07644354358278,0.0083982963866047,1.94143569417405,5.02338553953096,0.0434332348543175,0.0091689598053431,,1.891539175,Run 2024-10-31,-92.558,-13.524,
RI24-1054,Wade,02/10/2024,15:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-036,0.0259135205584545,0.0037542974164478,3.50526199558999,0.0292249920192377,0.686249514272354,0.466639020993258,0.0090183507393745,0.517973521918784,0.0035775806436855,1.02845461470148,1.13141970297756,0.0240670026604322,0.0403155642657472,,,,,,
RI24-1055,Wade,02/10/2024,18:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-037,0.0381427845115796,0.0026835871900044,2.69914849296331,0.0325101408418581,0.1639696011434,0.38138974789204,0.0066213604212893,0.382676867664231,0.0047209365228997,0.737764428722135,1.77302590375454,0.0171566321383573,0.0081903616108556,,2.840025672,Run 2024-10-31,-98.03,-14.274,
RI24-1056,Wade,02/10/2024,21:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-038,0.0411589664089256,0.0026798135177396,2.71811514209148,0.0312325537609419,0.166613780807416,0.38925856350103,0.0064187528254288,0.409774307492274,0.0039699550653334,0.746451677294877,2.1921853799026,0.0169677024785258,0.0083429653701616,,,,,,
RI24-1029,Potash,02/11/2024,2:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-022,0.0085596605891731,0.0182543505235702,36.941192309066,0.0245582669017432,2.26379375695034,14.7483110701002,0.0765499385717423,147.590373783964,0.0232060135830872,5.54424609904913,4.98376398780761,0.165411807275997,0.0028945071251083,,,,,,
RI24-1030,Potash,02/11/2024,5:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-023,0.0063201535596225,0.016408518575529,32.9118737593624,0.0200251574971513,2.2487512831296,14.5526553186057,0.056652422114285,143.063674875757,0.0185343498022886,5.5220442947438,5.26329524486585,0.156245648169076,0.0023910480182508,,,,,,
RI24-1031,Potash,02/11/2024,8:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-024,0.0059610862727998,0.0182097147962293,35.3655333939313,0.0185799646959787,2.24636520366023,14.828525588213,0.0607346309251031,147.358450929421,0.0196865194362003,5.74949484144394,5.93937227259249,0.16428211131203,0.0021244423398859,,,,-74.972,-11.071,
RI24-1032,Potash,02/11/2024,11:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-025,0.0078611006135366,0.0184668895401109,37.3194730634755,0.0208738307025085,2.37344412831677,15.326283012873,0.0530813780472893,156.891259440403,0.0192400911063947,5.95804891179576,6.44913749919008,0.173204639389109,0.0022639542270519,,,,-74.953,-11.041,
RI24-1033,Potash,02/11/2024,15:30,EST,Grab,Stream,,,,DartmouthID_duffy-030625-026,0.0063448213323211,0.0127730764609731,26.4782113719359,0.0187249541085329,2.31041904597203,14.8837015496657,0.0404733553056226,153.102569605142,0.0165231984816521,5.61696086605672,6.17684720215464,0.138020889106269,0.002453123970405,,,,-75.245,-11.085,
