Sample ID,Site,Date,Time,Time Zone,Type,Type2,Freezer bag #,UVM ICPOES prep date,Index-notes,ICPOES-notes-MED,Al_mg_L,Ba_mg_L,Ca_mg_L,Fe_mg_L,K_mg_L,Mg_mg_L,Mn_mg_L,Na_mg_L,P_mg_L,S_mg_L,Si_mg_L,Sr_mg_L,Zn_mg_L,Cu_mg_L,Cl_mg_L,IC-notes_MED,dD,d18O,NRS_LWIA_notes
RI24-1001,Wade,02/11/2024,14:00,EST,Isco,Stream,,,Duplicate PES for this sample,DartmouthID_duffy-030625-001,0.0376721818257804,0.0031829537717247,3.04506148087476,0.0248467226316908,0.162434353677663,0.436962519992046,0.0059380012649175,0.495754356249601,0.0023899666259053,0.827794121954563,2.58269656766204,0.0188980915593969,0.0092577684989695,,1.7943,Run 2024-09-24,-95.683,-14.11,
RI24-1002,Wade,02/11/2024,17:00,EST,Isco,Stream,,,Duplicate PES for this sample,DartmouthID_duffy-030625-002,0.0267394576538612,0.003092258431195,3.06305314640447,0.0202878604927398,0.172870059959894,0.438012420889594,0.0052983609047469,0.479872736802823,0.0028721371388211,0.847051545649488,2.70051533853943,0.0190617251149114,0.0046807191921767,,,,,,
RI24-1003,Wade,02/11/2024,20:00,EST,Isco,Stream,,,Duplicate PES for this sample,DartmouthID_duffy-030625-003,0.0313937013949575,0.0027852623120015,3.07704980242206,0.0214332889627238,0.133110928007831,0.441800364119185,0.0038575689957689,0.523873464482561,0.0042114387765685,0.854398537439295,2.49664107036762,0.0189883764067322,0.0119491318965742,,1.5105,Run 2024-09-24,-93.675,-13.609,
RI24-1004,Wade,02/11/2024,23:00,EST,Isco,Stream,,,Duplicate PES for this sample,DartmouthID_duffy-030625-004,0.0349509272750132,0.0027418891350071,3.12781348058406,0.0207475071637636,0.151966656781159,0.450639630204052,0.0035409724786685,0.547714577402798,0.0014251181445574,0.865909656478115,2.97137364006889,0.0192642917032889,0.00521395352576,,,,,,
RI24-1039,Hungerford,02/11/2024,0:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1040,Hungerford,02/11/2024,3:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,18.17206839,Run 2024-10-17,-80.683,-11.841,
RI24-1041,Hungerford,02/11/2024,6:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1042,Hungerford,02/11/2024,9:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1043,Hungerford,02/11/2024,12:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,14.88569593,Run 2024-10-17,-81.139,-11.904,
RI24-1044,Hungerford,02/11/2024,14:30,EST,Grab,Stream,,,,,,,,,,,,,,,,,,,14.88569593,Run 2024-10-17,-81.076,-11.933,
RI24-1057,Wade,02/11/2024,0:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-039,0.0406860421191119,0.0024376841405706,2.70796831670146,0.0278769444899454,0.110242919917533,0.396165706589927,0.0051791502127984,0.448381000970931,0.0037969980898367,0.75007005950194,2.00273176665862,0.0168706676412498,0.0068191216898867,,2.306913773,Run 2024-10-17,-97.849,-14.299,
RI24-1058,Wade,02/11/2024,3:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-040,0.0357998708758203,0.0028169988391071,2.68788702762485,0.027510172610373,0.139892082856105,0.392083651001501,0.0052865100372667,0.394964455349561,0.0035078801316301,0.754536049669751,1.81815862247486,0.0169300523557982,0.0130026803952677,,,,,,
RI24-1059,Wade,02/11/2024,6:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-041,0.0448862550430986,0.0045166702471483,4.91480575907341,0.0279105852476512,0.253491218488339,0.713538557589291,0.0070640810924235,0.770332020389359,0.0043982976778798,1.37611646833708,3.21585743377651,0.0310476711305984,0.0089389760596754,,1.83102794,Run 2024-10-17,-96.804,-14.171,
RI24-1060,Wade,02/11/2024,9:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-042,0.0518004334034159,0.0044272667937723,5.25284955301342,0.0338239679325236,0.964051231135432,0.766735675450636,0.0081229819788724,0.834903818253298,0.0042883710277597,1.48795101821602,4.26896448850787,0.0331093676179618,0.0546036059633197,,,,,,
RI24-1061,Wade,02/11/2024,12:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-043,0.038680323684474,0.0029634678985346,2.84726416323815,0.0249810685862327,0.139403597536116,0.417161393366296,0.005360201590503,0.41555835581789,0.0038328740952718,0.795984956338635,2.55598100731999,0.0179747371682053,0.0038042004224887,,2.732597276,Run 2024-10-31,-95.829,-14.205,
RI24-1062,Wade,02/11/2024,13:00,EST,Grab,Stream,,,,DartmouthID_duffy-030625-044,0.0197748350979098,0.0047195442447988,3.63269013402194,0.0150609143495344,0.186293625847624,0.547033917431826,0.0040371407369064,0.558516039843934,0.0040236107974143,1.0332799775178,2.36966805114638,0.0228529742966672,0.0069988153098238,,1.989960957,Run 2024-10-31,-95.613,-14.192,
RI24-1005,Wade,02/12/2024,2:00,EST,Isco,Stream,,,Duplicate PES for this sample,DartmouthID_duffy-030625-005,0.0356398854505087,0.0027473007838014,3.18968662238499,0.0220543388728659,0.125264377708605,0.46469946236877,0.0041247388146444,0.603753020968482,0.0018736448197974,0.909064363978073,2.85457458834478,0.0196343374893924,0.0078871103333069,,,,,,
RI24-1006,Wade,02/12/2024,5:00,EST,Isco,Stream,,,Duplicate PES for this sample,DartmouthID_duffy-030625-006,0.0291127055894794,0.0023767498502173,3.2724748300542,0.0203612650063369,0.116090695890841,0.474716497846069,0.0040190304908232,0.566226745035966,0.0008918210958649,0.914127573497426,2.85307139351874,0.0201534646215499,0.0069759816818246,,1.4975,Run 2024-09-24,-94.155,-13.712,
RI24-1007,Wade,02/12/2024,7:00,EST,Isco,Stream,,,Duplicate PES for this sample,DartmouthID_duffy-030625-007,0.0308671323930814,0.0023569438173502,3.18896014767453,0.022348168508525,0.099258433812969,0.460179567443441,0.0039855553655625,0.531430809976123,0.0016872236841051,0.898858479511837,2.73159933141243,0.0195461626067998,0.0097077479012034,,,,,,
RI24-1045,Hungerford,02/12/2024,16:00,EST,Grab,Stream,,,,,,,,,,,,,,,,,,,18.02118942,Run 2024-10-17,-79.59,-11.733,
RI24-1034,Potash,02/12/2024,13:45,EST,Grab,Stream,,,,DartmouthID_duffy-030625-027,0.0047219394653796,0.0151201577726762,32.8662493862775,0.0175264393556062,2.40042830786737,15.6674908763779,0.0476357476102658,157.485591669867,0.0206740106081512,6.04066466403364,4.78646569873195,0.164371498043057,0.0021045672418533,,,,-74.472,-11.136,
RI24-1423,Potash,02/16/2024,9:00,EST,Snow,Endmember,,05/21/2024,Potash snow,DartmouthID_AS-061025-153,0.0065200644292705,0.0044325021955976,0.813715006281711,0.0051240279469402,0.297722951456968,0.0674374512182603,0.0027249809211102,1.37172775010889,0.0080761144382778,0.196526822616618,0.0158332366278157,0.0016410264902192,0.0506362442288233,,3.871,Run 2025-07-21,-167.129,-23.518,
RI24-1213,Hungerford,02/23/2024,12:00,EST,Soil water lysimeter wet,Endmember,,03/28/2024,Wet site lysimeter,UVM-Aglab_,0.127,,4.489,0.05,1.512,1.102,0,1.882,0.088,,0.238,,0.014,0.005,,,-75.926,-11.288,
RI24-1064,Hungerford,02/26/2024,15:00,EST,Baseflow,Endmember,,,Baseflow candidate,DartmouthID_duffy-030625-046,0.0080212294045925,0.0191688595280883,36.9602816211563,0.0280914050177682,3.17502287026636,12.3245356494279,0.0341624315975675,25.117532506696,0.0252594593839047,10.1481292662102,6.89782575598375,0.201463056287082,0.0119220644732937,,,,,,
RI24-1065,Hungerford,02/26/2024,18:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-047,0.0083563556240152,0.0148440253579439,38.1720335017454,0.0331049073712447,2.44057246168356,9.52522990638329,0.027047905343652,19.3557820040551,0.0210297192662844,7.94620835848717,6.85801132826089,0.193288563019419,0.0078624011261873,,,,,,
RI24-1066,Hungerford,02/26/2024,21:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-048,0.012273792562842,0.0243027939976854,55.7682813497283,0.0373943175742122,5.12611497734332,19.4579743705775,0.0557035840926149,40.0418518599158,0.035941480347055,15.8152640697329,9.29493170253931,0.298699647974488,0.0150839757780701,,,,,,
RI24-1076,Potash,02/26/2024,13:15,EST,Grab,Stream,,,"Staff Gage .54, overcast- windy",,,,,,,,,,,,,,,,,,-74.616,-11.15,
RI24-1077,Potash,02/26/2024,15:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1078,Potash,02/26/2024,18:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1106,Wade,02/26/2024,17:45,EST,Grab,Stream,,,,DartmouthID_duffy-030625-069,0.0118860597305694,0.0040164841875215,3.90579077479581,0.0078019466812399,0.172792435653572,0.575953745463762,0.002414779575439,0.619211790537501,0.0046165909936813,1.16820909416891,3.68933894299021,0.0242860401570198,0.010751835675781,,2.34877196,Run 2024-10-17,-87.257,-12.941,
RI24-1212,Wade,02/26/2024,17:00,EST,Soil water lysimeter dry,Endmember,,03/28/2024,Dry site lysimeter,UVM-Aglab_,0.289,,0.35,0.091,0.3,0.12,-0.006,1.433,0.008,,0.151,,0.002,0.004,3.123,Run 2025-06-05,-108.5,-15.623,
RI24-1221,Wade,02/26/2024,16:30,EST,Snowmelt lysimeter,Endmember,,03/28/2024,Dry site lysimeter,UVM-Aglab_Replaced with 2nd run,0.007,,2.88,-0.009,0.751,0.917,-0.011,0.621,-0.01,,1.037,,0.038,0.007,5.298,Run 2025-06-05,-130.899,-18.526,
RI24-1067,Hungerford,02/27/2024,9:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-049,0.0086569138705513,0.0137906270634291,35.8719618231252,0.0390193629203064,2.57263918476367,10.3169704347697,0.020406017625521,21.8845513039273,0.0171052367718832,8.33254898900059,4.32330220852913,0.189361582029638,0.0055820558327865,,,,,,
RI24-1068,Hungerford,02/27/2024,12:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-050,0.0119584686241912,0.0158954028154322,40.1756935855576,0.0534297910906383,2.662374202092,10.6747739690245,0.0268698799351859,23.0945458415071,0.0192785888401075,8.74398448672355,5.77356314133072,0.204248743199041,0.0098629746192284,,,,,,
RI24-1069,Hungerford,02/27/2024,15:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-051,0.0101708446214847,0.0122016095299594,29.7787816544345,0.0485118712975007,2.18667062982593,8.4629283070511,0.022739774197488,18.025494647917,0.017315776188363,6.88460904735039,6.64071197233953,0.163741367771346,0.0056959288614202,,,,,,
RI24-1070,Hungerford,02/27/2024,18:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-052,0.0161960377380061,0.0135652066593764,34.5433198358749,0.0480623634382958,2.13860779825174,8.63338060920663,0.0227550996171279,18.506355096887,0.0201689316821703,6.94828540213276,5.84786572820238,0.177479854415032,0.0066184879788229,,,,,,
RI24-1071,Hungerford,02/27/2024,21:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-053,0.0057852416388012,0.0099836417985004,30.9702017919153,0.0272925838482701,2.66190189118079,10.7083225889703,0.015371750057276,23.3719513354283,0.0175628167424468,8.59144422830707,3.09287678717861,0.171727858089535,0.0045382382106385,,,,,,
RI24-1079,Potash,02/27/2024,12:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1080,Potash,02/27/2024,15:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1081,Potash,02/27/2024,18:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1082,Potash,02/27/2024,21:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1089,Wade,02/27/2024,16:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-059,0.0097695038396654,0.0032715384593993,3.83394760169854,0.0148410470559131,0.149225119818699,0.570232018777689,0.0042334492858608,0.620729783800029,0.0033840690928443,1.14335664828305,3.6833309987522,0.0240874063012853,0.0038417349227111,,,,,,
RI24-1090,Wade,02/27/2024,19:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-060,0.0110558860145846,0.0033352096361504,3.66480726080928,0.0164337235068582,0.153552794498599,0.540202900498435,0.0050719251260567,0.595518011809128,0.0039136764685071,1.09850370402581,3.28104489893721,0.023432139763248,0.0055198863737877,,,,,,
RI24-1101,Wade,02/27/2024,22:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-064,0.016503756241414,0.003041058371502,3.64617320676292,0.021684566473107,0.148379443854674,0.517283446990183,0.0051297303272067,0.622124100819015,0.0030352565540709,1.04852062012368,3.33353581586686,0.0228614816994182,0.0368841814828466,,,,,,
RI24-1063,Hungerford,02/28/2024,10:45,EST,Grab,Stream,,,"Staff Gage .58 m, Overcast - slight wind",DartmouthID_duffy-030625-045,0.013477778905667,0.0080132234109594,20.8266828178601,0.0477342562614435,1.8587672468399,6.85743202849698,0.0191625689277231,15.3110307959129,0.0160864575551143,5.12065702274874,3.80433343084662,0.115583996321464,0.0068016258759078,,21.11218274,Run 2024-10-31,-77.559,-11.531,
RI24-1072,Hungerford,02/28/2024,0:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-054,0.0146557294789436,0.0166344990464163,48.1376136912677,0.0382235032850354,4.02084063984112,15.4056760236409,0.0266342077739903,32.8745337354263,0.025779872477544,12.0395182754275,4.70528642700327,0.266714701957544,0.005053276085032,,,,,,
RI24-1073,Hungerford,02/28/2024,3:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-055,0.0178410603094607,0.0106295874507548,29.2426288488556,0.0551387928576897,2.46123021305961,9.35634041382903,0.0181589301951834,20.1478724419219,0.0220159373478804,7.31255200392369,3.47810762189555,0.163883693848128,0.0199317920263132,,,,,,
RI24-1074,Hungerford,02/28/2024,6:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-056,0.0191188029155065,0.0094746198132519,23.9330690576766,0.0507852558128817,2.25093159887812,8.55911909342004,0.0166567825083881,18.7268666787669,0.0199826311501114,6.73559006306996,3.84085711979441,0.135777609036,0.0051450719832521,,,,,,
RI24-1075,Hungerford,02/28/2024,9:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-057,0.0307686608938221,0.0118100090911588,29.289449940873,0.0691440598844456,1.81986128239894,7.07479683764768,0.0192435736143367,15.5837372860965,0.0206245132976624,5.46735336887557,4.35168747996914,0.156419382703414,0.005855226537555,,,,,,
RI24-1083,Potash,02/28/2024,0:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1084,Potash,02/28/2024,3:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1085,Potash,02/28/2024,6:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1086,Potash,02/28/2024,9:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1087,Potash,02/28/2024,12:00,EST,Isco,Stream,,,,,,,,,,,,,,,,,,,,,,,
RI24-1088,Wade,02/28/2024,11:15,EST,Grab,Stream,,,,DartmouthID_duffy-030625-058,0.0410828999617895,0.0040822066417599,4.25850618982023,0.0277439019150313,0.293426438381717,0.592081715897824,0.0103452870301642,0.733640662759469,0.0078646180718583,1.21868154985751,2.87160375788355,0.0279990993831062,0.0172627092834415,,,,,,
RI24-1102,Wade,02/28/2024,1:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-065,0.0165092428919559,0.0030185477557846,3.43906296294318,0.020751037266064,0.148494483993558,0.489125192803107,0.0049610170223552,0.549781362982402,0.0019748422944324,0.992098158192939,2.86186962100452,0.0218557120731443,0.0059488086478586,,,,,,
RI24-1103,Wade,02/28/2024,4:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-066,0.0228885644527435,0.0031939910254024,3.29015686760012,0.0299539156546614,0.162936413453261,0.465071840140434,0.006187503451025,0.535013391336501,0.0044251328055395,0.934377956280285,2.9846052232031,0.0211130055094698,0.005736854555961,,,,,,
RI24-1104,Wade,02/28/2024,7:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-067,0.026355010958563,0.0030347268051023,2.97327386902635,0.0311599635408438,0.183045483542343,0.416016767902521,0.0058857939430225,0.484317783429349,0.0046855042320343,0.828624632285349,2.84152873475019,0.019087069711837,0.0078906719140692,,,,,,
RI24-1105,Wade,02/28/2024,10:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-068,0.0328205871001893,0.0027386097844801,2.71143397616805,0.032106901802172,0.178732137965927,0.385731413576486,0.0064575164248749,0.442673675722157,0.0047500120152007,0.758525756860939,1.79206782855242,0.0174521608326598,0.0057210052291916,,,,,,
RI24-1107,Wade,02/28/2024,13:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-070,0.0333089441172071,0.0016408513855125,2.43134009076026,0.023286255869964,0.111566054886067,0.337440592012287,0.0046676282428227,0.394351110957722,0.000996047986624,0.69893594378049,1.68269661477649,0.0154039553866335,0.0086699238382933,,,,,,
RI24-1108,Wade,02/28/2024,16:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-071,0.0467665645926109,0.0020512656889794,2.38677560840706,0.0321776504192503,0.391740237845068,0.326631852577839,0.0100585621070263,0.494707298343342,0.003356457600768,0.703086261731758,1.62460675055761,0.0155225817875718,0.129273945106169,,,,,,
RI24-1109,Wade,02/28/2024,19:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-072,0.0432023162820373,0.0021114341376275,2.20199065248146,0.0287583534628705,0.109382825402174,0.304897414772085,0.0075091730147396,0.38517840933631,0.0044376612964927,0.647005147413933,1.23514515353622,0.0142732978319982,0.0052643476937392,,,,,,
RI24-1114,Hungerford,02/28/2024,12:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-077,0.0083506077320132,0.0076573977342238,22.3704167292091,0.0172575353207798,1.64705250078354,6.65046507975793,0.0158858974666788,14.9975740218511,0.0105996029763134,4.85043069980724,4.88159879745796,0.117874584181853,0.001559102279934,,,,,,
RI24-1115,Hungerford,02/28/2024,15:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-078,0.0103091353598521,0.0098789693491877,25.0986148465663,0.0359428960332631,1.66020343045872,6.20304875722436,0.0204980330464599,13.6859546438528,0.0140417352203236,4.5008024853306,4.85322001572009,0.127717373212846,0.0026693382587032,,,,,,
RI24-1116,Hungerford,02/28/2024,18:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-079,0.0163283446775542,0.0092314412763595,24.7290026944005,0.0421287522346252,1.94427576646901,6.81077663025361,0.0186022667020311,15.3640169729575,0.0148666304908803,4.99594749268753,5.21556688054137,0.126669087519758,0.0017874713959484,,,,,,
RI24-1117,Hungerford,02/28/2024,21:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-080,0.0138931374829031,0.0110685530871485,21.5802552798183,0.0449025556769287,1.95970283149099,6.29917405765277,0.023016318321686,13.7070201693135,0.0284043549775849,4.62162510495881,5.1388817823665,0.109558027401287,0.0041199184073686,,,,,,
RI24-1120,Potash,02/28/2024,15:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-083,0.0056189588304228,0.0148442548028454,30.9753286689037,0.0145517133115025,2.25662869237689,15.3290310342489,0.0568387365863502,169.840699943379,0.0191519699585924,5.97220518881004,5.56448182542755,0.168195278781028,0.0043200926864688,,,,,,
RI24-1121,Potash,02/28/2024,18:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-084,0.0097881644903582,0.026421019877068,48.3774637725401,0.022122064343932,3.1224846053691,20.0929926660231,0.116353666517853,229.274020271636,0.0277342557854319,7.76605777728038,6.80738511814148,0.229975283637771,0.007372448609667,,,,,,
RI24-1122,Potash,02/28/2024,21:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-085,0.329457754582068,0.0199908002811346,31.4635864640482,0.618560385219778,2.11452899085688,12.6948420167323,0.0815708805679919,203.316869974027,0.0402226053496896,5.7640712852125,5.4239176658856,0.159057205488422,0.079225266793702,,,,,,
RI24-1110,Wade,02/29/2024,22:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-073,0.0437724205111655,0.0011326463121992,1.63359853392905,0.0302662596989701,0.0545402100701818,0.220959245570786,0.0090131590919931,0.295836405915185,0.0015937533914151,0.470895986779274,0.876679701248624,0.0104059332945134,0.0086643092862099,,,,,,
RI24-1111,Wade,02/29/2024,1:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-074,0.0282082829310186,0.0021409961653024,2.45535072647684,0.0248170536537885,0.124434881058882,0.347108165156335,0.0093797527823952,0.432836657723694,0.0020557701781296,0.720142719110531,0.871679588104204,0.0155320819492595,0.0091173851382461,,,,,,
RI24-1118,Hungerford,02/29/2024,0:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-081,0.0176149318133994,0.0149892892870593,30.9282684929274,0.0427034536974689,2.87336257956058,7.59507586236448,0.0274511357866411,16.0412664404748,0.0296273800254095,5.51274328863377,5.95954025379983,0.147286025983649,0.0039060153817764,,,,,,
RI24-1123,Potash,02/29/2024,0:00,EST,Isco,Stream,,,,DartmouthID_duffy-030625-086,0.0079386962488741,0.0169281082068518,32.1102067750852,0.0227687761060292,2.50207982898259,14.4201160215765,0.0714395612817411,184.79120182341,0.020433897913407,5.68205934097186,4.5270593803939,0.154232173309285,0.0037379674001553,,,,,,
RI24-1112,Wade,03/01/2024,11:00,EST,Grab,Stream,,,Grab Taken in Isco Bottle,DartmouthID_duffy-030625-075,0.0266063718322704,0.0027281267589361,3.25773642520186,0.0198732113328167,0.161393736493695,0.493260312459085,0.0036057651340549,0.561579538774302,0.0046520625549761,0.948408272516272,2.28196039448594,0.0197071050489521,0.0136733641642811,,3.624,Run 2025-06-05,-99.868,-14.516,
